Season,Squad,W,D,L,GF,GA,Pts,Sh
1925/1926,Leicester City,14,10,18,70,80,38,
1925/1926,West Ham,15,7,20,63,76,37,
1925/1926,Leeds United,14,8,20,64,76,36,
1925/1926,Burnley,13,10,19,85,108,36,
1925/1926,Manchester City,12,11,19,89,100,35,
1925/1926,Notts County,13,7,22,54,74,33,
1924/1925,Huddersfield,21,16,5,69,28,58,
1924/1925,West Brom,23,10,9,58,34,56,
1924/1925,Bolton,22,11,9,76,34,55,
1924/1925,Liverpool,20,10,12,63,55,50,
1924/1925,Bury,17,15,10,54,51,49,
1924/1925,Newcastle Utd,16,16,10,61,42,48,
1924/1925,Sunderland,19,10,13,64,51,48,
1924/1925,Birmingham,17,12,13,49,53,46,
1924/1925,Notts County,16,13,13,42,31,45,
1924/1925,Manchester City,17,9,16,76,68,43,
1924/1925,Cardiff City,16,11,15,56,51,43,
1924/1925,Tottenham,15,12,15,52,43,42,
1924/1925,West Ham,15,12,15,62,60,42,
1924/1925,Sheffield Utd,13,13,16,55,63,39,
1924/1925,Aston Villa,13,13,16,58,71,39,
1924/1925,Blackburn,11,13,18,53,66,35,
1924/1925,Everton,12,11,19,40,60,35,
1924/1925,Leeds United,11,12,19,46,59,34,
1924/1925,Burnley,11,12,19,46,75,34,
1924/1925,Arsenal,14,5,23,46,58,33,
1924/1925,Preston,10,6,26,37,74,26,
1924/1925,Nott'ham Forest,6,12,24,29,65,24,
1923/1924,Huddersfield,23,11,8,60,33,57,
1923/1924,Cardiff City,22,13,7,61,34,57,
1923/1924,Sunderland,22,9,11,71,54,53,
1923/1924,Bolton,18,14,10,68,34,50,
1923/1924,Sheffield Utd,19,12,11,69,49,50,
1923/1924,Aston Villa,18,13,11,52,37,49,
1923/1924,Everton,18,13,11,62,53,49,
1923/1924,Blackburn,17,11,14,54,50,45,
1923/1924,Newcastle Utd,17,10,15,60,54,44,
1923/1924,Notts County,14,14,14,44,49,42,
1923/1924,Manchester City,15,12,15,54,71,42,
1923/1924,Liverpool,15,11,16,49,48,41,
1923/1924,West Ham,13,15,14,40,43,41,
1923/1924,Birmingham,13,13,16,41,49,39,
1923/1924,Tottenham,12,14,16,50,56,38,
1923/1924,West Brom,12,14,16,51,62,38,
1923/1924,Burnley,12,12,18,55,60,36,
1923/1924,Preston,12,10,20,52,67,34,
1923/1924,Arsenal,12,9,21,40,63,33,
1923/1924,Nott'ham Forest,10,12,20,42,64,32,
1923/1924,Chelsea,9,14,19,31,53,32,
1923/1924,Middlesbrough,7,8,27,37,60,22,
1922/1923,Liverpool,26,8,8,70,31,60,
1922/1923,Sunderland,22,10,10,72,54,54,
1922/1923,Huddersfield,21,11,10,60,32,53,
1922/1923,Newcastle Utd,18,12,12,45,37,48,
1922/1923,Everton,20,7,15,63,59,47,
1922/1923,Aston Villa,18,10,14,64,51,46,
1922/1923,West Brom,17,11,14,58,49,45,
1922/1923,Manchester City,17,11,14,50,49,45,
1922/1923,Cardiff City,18,7,17,73,59,43,
1922/1923,Sheffield Utd,16,10,16,68,64,42,
1922/1923,Arsenal,16,10,16,61,62,42,
1922/1923,Tottenham,17,7,18,50,50,41,
1922/1923,Bolton,14,12,16,50,58,40,
1922/1923,Blackburn,14,12,16,47,62,40,
1922/1923,Burnley,16,6,20,58,59,38,
1922/1923,Preston,13,11,18,60,64,37,
1922/1923,Birmingham,13,11,18,41,57,37,
1922/1923,Middlesbrough,13,10,19,57,63,36,
1922/1923,Chelsea,9,18,15,45,53,36,
1922/1923,Nott'ham Forest,13,8,21,41,70,34,
1922/1923,Stoke,10,10,22,47,67,30,
1922/1923,Oldham Athletic,10,10,22,35,65,30,
1921/1922,Liverpool,22,13,7,63,36,57,
1921/1922,Tottenham,21,9,12,65,39,51,
1921/1922,Burnley,22,5,15,72,54,49,
1921/1922,Cardiff City,19,10,13,61,53,48,
1921/1922,Aston Villa,22,3,17,74,55,47,
1921/1922,Bolton,20,7,15,68,59,47,
1921/1922,Newcastle Utd,18,10,14,59,45,46,
1921/1922,Middlesbrough,16,14,12,79,69,46,
1921/1922,Chelsea,17,12,13,40,43,46,
1921/1922,Manchester City,18,9,15,65,70,45,
1921/1922,Sheffield Utd,15,10,17,59,54,40,
1921/1922,Sunderland,16,8,18,60,62,40,
1921/1922,West Brom,15,10,17,51,63,40,
1921/1922,Huddersfield,15,9,18,53,54,39,
1921/1922,Blackburn,13,12,17,54,57,38,
1921/1922,Preston,13,12,17,42,65,38,
1921/1922,Arsenal,15,7,20,47,56,37,
1921/1922,Birmingham,15,7,20,48,60,37,
1921/1922,Oldham Athletic,13,11,18,38,50,37,
1921/1922,Everton,12,12,18,57,55,36,
1921/1922,Bradford City,11,10,21,48,72,32,
1921/1922,Manchester Utd,8,12,22,41,73,28,
1920/1921,Burnley,23,13,6,79,36,59,
1920/1921,Manchester City,24,6,12,70,50,54,
1920/1921,Bolton,19,14,9,77,53,52,
1920/1921,Liverpool,18,15,9,63,35,51,
1920/1921,Newcastle Utd,20,10,12,66,45,50,
1920/1921,Tottenham,19,9,14,70,48,47,
1920/1921,Everton,17,13,12,66,55,47,
1920/1921,Middlesbrough,17,12,13,53,53,46,
1920/1921,Arsenal,15,14,13,59,63,44,
1920/1921,Aston Villa,18,7,17,63,70,43,
1920/1921,Blackburn,13,15,14,57,59,41,
1920/1921,Sunderland,14,13,15,57,60,41,
1920/1921,Manchester Utd,15,10,17,64,68,40,
1920/1921,West Brom,13,14,15,54,58,40,
1920/1921,Bradford City,12,15,15,61,63,39,
1920/1921,Preston,15,9,18,61,65,39,
1920/1921,Huddersfield,15,9,18,42,49,39,
1920/1921,Chelsea,13,13,16,48,58,39,
1920/1921,Oldham Athletic,9,15,18,49,86,33,
1920/1921,Sheffield Utd,6,18,18,42,68,30,
1920/1921,Derby County,5,16,21,32,58,26,
1920/1921,Bradford PA,8,8,26,43,76,24,
1919/1920,West Brom,28,4,10,104,47,60,
1919/1920,Burnley,21,9,12,65,59,51,
1919/1920,Chelsea,22,5,15,56,51,49,
1919/1920,Liverpool,19,10,13,59,44,48,
1919/1920,Sunderland,22,4,16,72,59,48,
1919/1920,Bolton,19,9,14,72,65,47,
1919/1920,Manchester City,18,9,15,71,62,45,
1919/1920,Newcastle Utd,17,9,16,44,39,43,
1919/1920,Aston Villa,18,6,18,75,73,42,
1919/1920,Arsenal,15,12,15,56,58,42,
1919/1920,Bradford PA,15,12,15,60,63,42,
1919/1920,Manchester Utd,13,14,15,54,50,40,
1919/1920,Middlesbrough,15,10,17,61,65,40,
1919/1920,Sheffield Utd,16,8,18,59,69,40,
1919/1920,Bradford City,14,11,17,54,63,39,
1919/1920,Everton,12,14,16,69,68,38,
1919/1920,Oldham Athletic,15,8,19,49,52,38,
1919/1920,Derby County,13,12,17,47,57,38,
1919/1920,Preston,14,10,18,57,73,38,
1919/1920,Blackburn,13,11,18,64,77,37,
1919/1920,Notts County,12,12,18,56,74,36,
1919/1920,The Wednesday,7,9,26,28,64,23,
1914/1915,Everton,19,8,11,76,47,46,
1914/1915,Oldham Athletic,17,11,10,70,56,45,
1914/1915,Blackburn,18,7,13,83,61,43,
1914/1915,Burnley,18,7,13,61,47,43,
1914/1915,Manchester City,15,13,10,49,39,43,
1914/1915,Sheffield Utd,15,13,10,49,41,43,
1914/1915,The Wednesday,15,13,10,61,54,43,
1914/1915,Sunderland,18,5,15,81,72,41,
1914/1915,Bradford PA,17,7,14,69,65,41,
1914/1915,West Brom,15,10,13,49,43,40,
1914/1915,Bradford City,13,14,11,55,49,40,
1914/1915,Middlesbrough,13,12,13,62,74,38,
1914/1915,Liverpool,14,9,15,65,75,37,
1914/1915,Aston Villa,13,11,14,62,72,37,
1914/1915,Newcastle Utd,11,10,17,46,48,32,
1914/1915,Notts County,9,13,16,41,57,31,
1914/1915,Bolton,11,8,19,68,84,30,
1914/1915,Manchester Utd,9,12,17,46,62,30,
1914/1915,Chelsea,8,13,17,51,65,29,
1914/1915,Tottenham,8,12,18,57,90,28,
1913/1914,Blackburn,20,11,7,78,42,51,
1913/1914,Aston Villa,19,6,13,65,50,44,
1913/1914,Middlesbrough,19,5,14,77,60,43,
1913/1914,Oldham Athletic,17,9,12,55,45,43,
1913/1914,West Brom,15,13,10,46,42,43,
1913/1914,Bolton,16,10,12,65,52,42,
1913/1914,Sunderland,17,6,15,63,52,40,
1913/1914,Chelsea,16,7,15,46,55,39,
1913/1914,Bradford City,12,14,12,40,40,38,
1913/1914,Sheffield Utd,16,5,17,63,60,37,
1913/1914,Newcastle Utd,13,11,14,39,48,37,
1913/1914,Burnley,12,12,14,61,53,36,
1913/1914,Manchester City,14,8,16,51,53,36,
1913/1914,Manchester Utd,15,6,17,52,62,36,
1913/1914,Everton,12,11,15,46,55,35,
1913/1914,Liverpool,14,7,17,46,62,35,
1913/1914,Tottenham,12,10,16,50,62,34,
1913/1914,The Wednesday,13,8,17,53,70,34,
1913/1914,Preston,12,6,20,52,69,30,
1913/1914,Derby County,8,11,19,55,71,27,
1912/1913,Sunderland,25,4,9,86,43,54,
1912/1913,Aston Villa,19,12,7,86,52,50,
1912/1913,The Wednesday,21,7,10,75,55,49,
1912/1913,Manchester Utd,19,8,11,69,43,46,
1912/1913,Blackburn,16,13,9,79,43,45,
1912/1913,Manchester City,18,8,12,53,37,44,
1912/1913,Derby County,17,8,13,69,66,42,
1912/1913,Bolton,16,10,12,62,63,42,
1912/1913,Oldham Athletic,14,14,10,50,55,42,
1912/1913,West Brom,13,12,13,57,50,38,
1912/1913,Everton,15,7,16,48,54,37,
1912/1913,Liverpool,16,5,17,61,71,37,
1912/1913,Bradford City,12,11,15,50,60,35,
1912/1913,Newcastle Utd,13,8,17,47,47,34,
1912/1913,Sheffield Utd,14,6,18,56,70,34,
1912/1913,Middlesbrough,11,10,17,55,69,32,
1912/1913,Tottenham,12,6,20,45,72,30,
1912/1913,Chelsea,11,6,21,51,73,28,
1912/1913,Notts County,7,9,22,28,56,23,
1912/1913,Arsenal,3,12,23,26,74,18,
1911/1912,Blackburn,20,9,9,60,43,49,
1911/1912,Everton,20,6,12,46,42,46,
1911/1912,Newcastle Utd,18,8,12,64,50,44,
1911/1912,Bolton,20,3,15,54,43,43,
1911/1912,The Wednesday,16,9,13,69,49,41,
1911/1912,Aston Villa,17,7,14,76,63,41,
1911/1912,Middlesbrough,16,8,14,56,45,40,
1911/1912,Sunderland,14,11,13,58,51,39,
1911/1912,West Brom,15,9,14,43,47,39,
1911/1912,Arsenal,15,8,15,55,59,38,
1911/1912,Bradford City,15,8,15,46,50,38,
1911/1912,Tottenham,14,9,15,53,53,37,
1911/1912,Manchester Utd,13,11,14,45,60,37,
1911/1912,Sheffield Utd,13,10,15,63,56,36,
1911/1912,Manchester City,13,9,16,56,58,35,
1911/1912,Notts County,14,7,17,46,63,35,
1911/1912,Liverpool,12,10,16,49,55,34,
1911/1912,Oldham Athletic,12,10,16,46,54,34,
1911/1912,Preston,13,7,18,40,57,33,
1911/1912,Bury,6,9,23,32,59,21,
1910/1911,Manchester Utd,22,8,8,72,40,52,
1910/1911,Aston Villa,22,7,9,69,41,51,
1910/1911,Sunderland,15,15,8,67,48,45,
1910/1911,Everton,19,7,12,50,36,45,
1910/1911,Bradford City,20,5,13,51,42,45,
1910/1911,The Wednesday,17,8,13,47,48,42,
1910/1911,Oldham Athletic,16,9,13,44,41,41,
1910/1911,Newcastle Utd,15,10,13,61,43,40,
1910/1911,Sheffield Utd,15,8,15,49,43,38,
1910/1911,Arsenal,13,12,13,41,49,38,
1910/1911,Notts County,14,10,14,37,45,38,
1910/1911,Blackburn,13,11,14,62,54,37,
1910/1911,Liverpool,15,7,16,53,53,37,
1910/1911,Preston,12,11,15,40,49,35,
1910/1911,Tottenham,13,6,19,52,63,32,
1910/1911,Middlesbrough,11,10,17,49,63,32,
1910/1911,Manchester City,9,13,16,43,58,31,
1910/1911,Bury,9,11,18,43,71,29,
1910/1911,Bristol City,11,5,22,43,66,27,
1910/1911,Nott'ham Forest,9,7,22,55,75,25,
1909/1910,Aston Villa,23,7,8,84,42,53,
1909/1910,Liverpool,21,6,11,78,57,48,
1909/1910,Blackburn,18,9,11,73,55,45,
1909/1910,Newcastle Utd,19,7,12,70,56,45,
1909/1910,Manchester Utd,19,7,12,69,61,45,
1909/1910,Sheffield Utd,16,10,12,62,41,42,
1909/1910,Bradford City,17,8,13,64,47,42,
1909/1910,Sunderland,18,5,15,66,51,41,
1909/1910,Notts County,15,10,13,67,59,40,
1909/1910,Everton,16,8,14,51,56,40,
1909/1910,The Wednesday,15,9,14,60,63,39,
1909/1910,Preston,15,5,18,52,58,35,
1909/1910,Bury,12,9,17,62,66,33,
1909/1910,Nott'ham Forest,11,11,16,54,72,33,
1909/1910,Tottenham,11,10,17,53,69,32,
1909/1910,Bristol City,12,8,18,45,60,32,
1909/1910,Middlesbrough,11,9,18,56,73,31,
1909/1910,Arsenal,11,9,18,37,67,31,
1909/1910,Chelsea,11,7,20,47,70,29,
1909/1910,Bolton,9,6,23,44,71,24,
1908/1909,Newcastle Utd,24,5,9,65,41,53,
1908/1909,Everton,18,10,10,82,57,46,
1908/1909,Sunderland,21,2,15,78,63,44,
1908/1909,Blackburn,14,13,11,61,50,41,
1908/1909,The Wednesday,17,6,15,67,61,40,
1908/1909,Arsenal,14,10,14,52,49,38,
1908/1909,Aston Villa,14,10,14,58,56,38,
1908/1909,Bristol City,13,12,13,45,58,38,
1908/1909,Middlesbrough,14,9,15,59,53,37,
1908/1909,Preston,13,11,14,48,44,37,
1908/1909,Chelsea,14,9,15,56,61,37,
1908/1909,Sheffield Utd,14,9,15,51,59,37,
1908/1909,Manchester Utd,15,7,16,58,68,37,
1908/1909,Nott'ham Forest,14,8,16,66,57,36,
1908/1909,Notts County,14,8,16,51,48,36,
1908/1909,Liverpool,15,6,17,57,65,36,
1908/1909,Bury,14,8,16,63,77,36,
1908/1909,Bradford City,12,10,16,47,47,34,
1908/1909,Manchester City,15,4,19,67,69,34,
1908/1909,Leicester City,8,9,21,54,102,25,
1907/1908,Manchester Utd,23,6,9,81,48,52,
1907/1908,Aston Villa,17,9,12,77,59,43,
1907/1908,Manchester City,16,11,11,62,54,43,
1907/1908,Newcastle Utd,15,12,11,65,54,42,
1907/1908,The Wednesday,19,4,15,73,64,42,
1907/1908,Middlesbrough,17,7,14,54,45,41,
1907/1908,Bury,14,11,13,58,61,39,
1907/1908,Liverpool,16,6,16,68,61,38,
1907/1908,Nott'ham Forest,13,11,14,59,62,37,
1907/1908,Bristol City,12,12,14,58,61,36,
1907/1908,Everton,15,6,17,58,64,36,
1907/1908,Preston,12,12,14,47,53,36,
1907/1908,Chelsea,14,8,16,53,62,36,
1907/1908,Arsenal,12,12,14,51,63,36,
1907/1908,Blackburn,12,12,14,51,63,36,
1907/1908,Sunderland,16,3,19,78,75,35,
1907/1908,Sheffield Utd,12,11,15,52,58,35,
1907/1908,Notts County,13,8,17,39,51,34,
1907/1908,Bolton,14,5,19,52,58,33,
1907/1908,Birmingham,9,12,17,40,60,30,
1906/1907,Newcastle Utd,22,7,9,74,46,51,
1906/1907,Bristol City,20,8,10,66,47,48,
1906/1907,Everton,20,5,13,70,46,45,
1906/1907,Sheffield Utd,17,11,10,57,55,45,
1906/1907,Aston Villa,19,6,13,78,52,44,
1906/1907,Bolton,18,8,12,59,47,44,
1906/1907,Arsenal,20,4,14,66,59,44,
1906/1907,Manchester Utd,17,8,13,53,56,42,
1906/1907,Birmingham,15,8,15,52,52,38,
1906/1907,Sunderland,14,9,15,65,66,37,
1906/1907,Middlesbrough,15,6,17,56,63,36,
1906/1907,Blackburn,14,7,17,56,59,35,
1906/1907,The Wednesday,12,11,15,49,60,35,
1906/1907,Preston,14,7,17,44,57,35,
1906/1907,Liverpool,13,7,18,64,65,33,
1906/1907,Bury,13,6,19,58,68,32,
1906/1907,Manchester City,10,12,16,53,77,32,
1906/1907,Notts County,8,15,15,46,50,31,
1906/1907,Derby County,9,9,20,41,59,27,
1906/1907,Stoke,8,10,20,41,64,26,
1905/1906,Liverpool,23,5,10,79,46,51,
1905/1906,Preston,17,13,8,54,39,47,
1905/1906,The Wednesday,18,8,12,63,52,44,
1905/1906,Newcastle Utd,18,7,13,74,48,43,
1905/1906,Manchester City,19,5,14,73,54,43,
1905/1906,Bolton,17,7,14,81,67,41,
1905/1906,Birmingham,17,7,14,65,59,41,
1905/1906,Aston Villa,17,6,15,72,56,40,
1905/1906,Blackburn,16,8,14,54,52,40,
1905/1906,Stoke,16,7,15,54,55,39,
1905/1906,Everton,15,7,16,70,66,37,
1905/1906,Arsenal,15,7,16,62,64,37,
1905/1906,Sheffield Utd,15,6,17,57,62,36,
1905/1906,Sunderland,15,5,18,61,70,35,
1905/1906,Derby County,14,7,17,39,58,35,
1905/1906,Notts County,11,12,15,55,71,34,
1905/1906,Bury,11,10,17,57,74,32,
1905/1906,Middlesbrough,10,11,17,56,71,31,
1905/1906,Nott'ham Forest,13,5,20,58,79,31,
1905/1906,Wolves,8,7,23,58,99,23,
1904/1905,Newcastle Utd,23,2,9,72,33,48,
1904/1905,Everton,21,5,8,63,36,47,
1904/1905,Manchester City,20,6,8,66,37,46,
1904/1905,Aston Villa,19,4,11,63,43,42,
1904/1905,Sunderland,16,8,10,60,44,40,
1904/1905,Sheffield Utd,19,2,13,64,56,40,
1904/1905,Small Heath,17,5,12,54,38,39,
1904/1905,Preston,13,10,11,42,37,36,
1904/1905,The Wednesday,14,5,15,61,57,33,
1904/1905,Arsenal,12,9,13,36,40,33,
1904/1905,Derby County,12,8,14,37,48,32,
1904/1905,Stoke,13,4,17,40,58,30,
1904/1905,Blackburn,11,5,18,40,51,27,
1904/1905,Wolves,11,4,19,47,73,26,
1904/1905,Middlesbrough,9,8,17,36,56,26,
1904/1905,Nott'ham Forest,9,7,18,40,61,25,
1904/1905,Bury,10,4,20,47,67,24,
1904/1905,Notts County,5,8,21,36,69,18,
1903/1904,The Wednesday,20,7,7,48,28,47,
1903/1904,Manchester City,19,6,9,71,45,44,
1903/1904,Everton,19,5,10,59,32,43,
1903/1904,Newcastle Utd,18,6,10,58,45,42,
1903/1904,Aston Villa,17,7,10,70,48,41,
1903/1904,Sunderland,17,5,12,63,49,39,
1903/1904,Sheffield Utd,15,8,11,62,57,38,
1903/1904,Wolves,14,8,12,44,66,36,
1903/1904,Nott'ham Forest,11,9,14,57,57,31,
1903/1904,Middlesbrough,9,12,13,46,47,30,
1903/1904,Small Heath,11,8,15,39,52,30,
1903/1904,Bury,7,15,12,40,53,29,
1903/1904,Notts County,12,5,17,37,61,29,
1903/1904,Derby County,9,10,15,58,60,28,
1903/1904,Blackburn,11,6,17,48,60,28,
1903/1904,Stoke,10,7,17,54,57,27,
1903/1904,Liverpool,9,8,17,49,62,26,
1903/1904,West Brom,7,10,17,36,60,24,
1902/1903,The Wednesday,19,4,11,54,36,42,
1902/1903,Aston Villa,19,3,12,61,40,41,
1902/1903,Sunderland,16,9,9,51,36,41,
1902/1903,Sheffield Utd,17,5,12,58,44,39,
1902/1903,Liverpool,17,4,13,68,49,38,
1902/1903,Stoke,15,7,12,46,38,37,
1902/1903,West Brom,16,4,14,54,53,36,
1902/1903,Bury,16,3,15,54,43,35,
1902/1903,Derby County,16,3,15,50,47,35,
1902/1903,Nott'ham Forest,14,7,13,49,47,35,
1902/1903,Wolves,14,5,15,48,57,33,
1902/1903,Everton,13,6,15,45,47,32,
1902/1903,Middlesbrough,14,4,16,41,50,32,
1902/1903,Newcastle Utd,14,4,16,41,51,32,
1902/1903,Notts County,12,7,15,41,49,31,
1902/1903,Blackburn,12,5,17,44,63,29,
1902/1903,Grimsby Town,8,9,17,43,62,25,
1902/1903,Bolton,8,3,23,37,73,19,
1901/1902,Sunderland,19,6,9,50,35,44,
1901/1902,Everton,17,7,10,53,35,41,
1901/1902,Newcastle Utd,14,9,11,48,34,37,
1901/1902,Blackburn,15,6,13,52,48,36,
1901/1902,Nott'ham Forest,13,9,12,43,43,35,
1901/1902,Derby County,13,9,12,39,41,35,
1901/1902,Bury,13,8,13,44,38,34,
1901/1902,Aston Villa,13,8,13,42,40,34,
1901/1902,The Wednesday,13,8,13,48,52,34,
1901/1902,Sheffield Utd,13,7,14,53,48,33,
1901/1902,Liverpool,10,12,12,42,38,32,
1901/1902,Bolton,12,8,14,51,56,32,
1901/1902,Notts County,14,4,16,51,57,32,
1901/1902,Wolves,13,6,15,46,57,32,
1901/1902,Grimsby Town,13,6,15,44,60,32,
1901/1902,Stoke,11,9,14,45,55,31,
1901/1902,Small Heath,11,8,15,47,45,30,
1901/1902,Manchester City,11,6,17,42,58,28,
1900/1901,Liverpool,19,7,8,59,35,45,
1900/1901,Sunderland,15,13,6,57,26,43,
1900/1901,Notts County,18,4,12,54,46,40,
1900/1901,Nott'ham Forest,16,7,11,53,36,39,
1900/1901,Bury,16,7,11,53,37,39,
1900/1901,Newcastle Utd,14,10,10,42,37,38,
1900/1901,Everton,16,5,13,55,42,37,
1900/1901,The Wednesday,13,10,11,52,42,36,
1900/1901,Blackburn,12,9,13,39,47,33,
1900/1901,Bolton,13,7,14,39,55,33,
1900/1901,Manchester City,13,6,15,48,58,32,
1900/1901,Derby County,12,7,15,55,42,31,
1900/1901,Wolves,9,13,12,39,55,31,
1900/1901,Sheffield Utd,12,7,15,35,52,31,
1900/1901,Aston Villa,10,10,14,45,51,30,
1900/1901,Stoke,11,5,18,46,57,27,
1900/1901,Preston,9,7,18,49,75,25,
1900/1901,West Brom,7,8,19,35,62,22,
1899/1900,Aston Villa,22,6,6,77,35,50,
1899/1900,Sheffield Utd,18,12,4,63,33,48,
1899/1900,Sunderland,19,3,12,50,35,41,
1899/1900,Wolves,15,9,10,48,37,39,
1899/1900,Newcastle Utd,13,10,11,53,43,36,
1899/1900,Derby County,14,8,12,45,43,36,
1899/1900,Manchester City,13,8,13,50,44,34,
1899/1900,Nott'ham Forest,13,8,13,56,55,34,
1899/1900,Stoke,13,8,13,37,45,34,
1899/1900,Liverpool,14,5,15,49,45,33,
1899/1900,Everton,13,7,14,47,49,33,
1899/1900,Bury,13,6,15,40,44,32,
1899/1900,West Brom,11,8,15,43,51,30,
1899/1900,Blackburn,13,4,17,49,61,30,
1899/1900,Notts County,9,11,14,46,60,29,
1899/1900,Preston,12,4,18,38,48,28,
1899/1900,Burnley,11,5,18,34,54,27,
1899/1900,Glossop NE,4,10,20,31,74,18,
1898/1899,Aston Villa,19,7,8,76,40,45,
1898/1899,Liverpool,19,5,10,49,33,43,
1898/1899,Burnley,15,9,10,45,47,39,
1898/1899,Everton,15,8,11,48,41,38,
1898/1899,Notts County,12,13,9,47,51,37,
1898/1899,Blackburn,14,8,12,60,52,36,
1898/1899,Sunderland,15,6,13,41,41,36,
1898/1899,Wolves,14,7,13,54,48,35,
1898/1899,Derby County,12,11,11,62,57,35,
1898/1899,Bury,14,7,13,48,49,35,
1898/1899,Nott'ham Forest,11,11,12,42,42,33,
1898/1899,Stoke,13,7,14,47,52,33,
1898/1899,Newcastle Utd,11,8,15,49,48,30,
1898/1899,West Brom,12,6,16,42,57,30,
1898/1899,Preston,10,9,15,44,47,29,
1898/1899,Sheffield Utd,9,11,14,45,51,29,
1898/1899,Bolton,9,7,18,37,51,25,
1898/1899,The Wednesday,8,8,18,32,61,24,
1897/1898,Sheffield Utd,17,8,5,56,31,42,
1897/1898,Sunderland,16,5,9,43,30,37,
1897/1898,Wolves,14,7,9,57,41,35,
1897/1898,Everton,13,9,8,48,39,35,
1897/1898,The Wednesday,15,3,12,51,42,33,
1897/1898,Aston Villa,14,5,11,61,51,33,
1897/1898,West Brom,11,10,9,44,45,32,
1897/1898,Nott'ham Forest,11,9,10,47,49,31,
1897/1898,Liverpool,11,6,13,48,45,28,
1897/1898,Derby County,11,6,13,57,61,28,
1897/1898,Bolton,11,4,15,28,41,26,
1897/1898,Preston,8,8,14,35,43,24,
1897/1898,Notts County,8,8,14,36,46,24,
1897/1898,Bury,8,8,14,39,51,24,
1897/1898,Blackburn,7,10,13,39,54,24,
1897/1898,Stoke,8,8,14,35,55,24,
1896/1897,Aston Villa,21,5,4,73,38,47,
1896/1897,Sheffield Utd,13,10,7,42,29,36,
1896/1897,Derby County,16,4,10,70,50,36,
1896/1897,Preston,11,12,7,55,40,34,
1896/1897,Liverpool,12,9,9,46,38,33,
1896/1897,The Wednesday,10,11,9,42,37,31,
1896/1897,Everton,14,3,13,62,57,31,
1896/1897,Bolton,12,6,12,40,43,30,
1896/1897,Bury,10,10,10,39,44,30,
1896/1897,Wolves,11,6,13,45,41,28,
1896/1897,Nott'ham Forest,9,8,13,44,49,26,
1896/1897,West Brom,10,6,14,33,56,26,
1896/1897,Stoke,11,3,16,48,59,25,
1896/1897,Blackburn,11,3,16,35,62,25,
1896/1897,Sunderland,7,9,14,34,47,23,
1896/1897,Burnley,6,7,17,43,61,19,
1895/1896,Aston Villa,20,5,5,78,45,45,
1895/1896,Derby County,17,7,6,68,35,41,
1895/1896,Everton,16,7,7,66,43,39,
1895/1896,Bolton,16,5,9,49,37,37,
1895/1896,Sunderland,15,7,8,52,41,37,
1895/1896,Stoke,15,0,15,56,47,30,
1895/1896,The Wednesday,12,5,13,44,53,29,
1895/1896,Blackburn,12,5,13,40,50,29,
1895/1896,Preston,11,6,13,44,48,28,
1895/1896,Burnley,10,7,13,48,44,27,
1895/1896,Bury,12,3,15,50,54,27,
1895/1896,Sheffield Utd,10,6,14,40,50,26,
1895/1896,Nott'ham Forest,11,3,16,42,57,25,
1895/1896,Wolves,10,1,19,61,65,21,
1895/1896,Small Heath,8,4,18,39,79,20,
1895/1896,West Brom,6,7,17,30,59,19,
1894/1895,Sunderland,21,5,4,80,37,47,
1894/1895,Everton,18,6,6,82,50,42,
1894/1895,Aston Villa,17,5,8,82,43,39,
1894/1895,Preston,15,5,10,62,46,35,
1894/1895,Blackburn,11,10,9,59,49,32,
1894/1895,Sheffield Utd,14,4,12,57,55,32,
1894/1895,Nott'ham Forest,13,5,12,50,56,31,
1894/1895,The Wednesday,12,4,14,50,55,28,
1894/1895,Burnley,11,4,15,44,56,26,
1894/1895,Bolton,9,7,14,61,62,25,
1894/1895,Wolves,9,7,14,43,63,25,
1894/1895,Small Heath,9,7,14,50,74,25,
1894/1895,West Brom,10,4,16,51,66,24,
1894/1895,Stoke,9,6,15,50,67,24,
1894/1895,Derby County,7,9,14,45,68,23,
1894/1895,Liverpool,7,8,15,51,70,22,
1893/1894,Aston Villa,19,6,5,84,42,44,
1893/1894,Sunderland,17,4,9,72,44,38,
1893/1894,Derby County,16,4,10,73,62,36,
1893/1894,Blackburn,16,2,12,69,53,34,
1893/1894,Burnley,15,4,11,61,51,34,
1893/1894,Everton,15,3,12,90,57,33,
1893/1894,Nott'ham Forest,14,4,12,57,48,32,
1893/1894,West Brom,14,4,12,66,59,32,
1893/1894,Wolves,14,3,13,52,63,31,
1893/1894,Sheffield Utd,13,5,12,47,61,31,
1893/1894,Stoke,13,3,14,65,79,29,
1893/1894,The Wednesday,9,8,13,48,57,26,
1893/1894,Bolton,10,4,16,38,52,24,
1893/1894,Preston,10,3,17,44,56,23,
1893/1894,Darwen,7,5,18,37,83,19,
1893/1894,Newton Heath,6,2,22,36,72,14,
1892/1893,Sunderland,22,4,4,100,36,48,
1892/1893,Preston,17,3,10,57,39,37,
1892/1893,Everton,16,4,10,74,51,36,
1892/1893,Aston Villa,16,3,11,73,62,35,
1892/1893,Bolton,13,6,11,56,55,32,
1892/1893,Burnley,13,4,13,51,44,30,
1892/1893,Stoke,12,5,13,58,48,29,
1892/1893,West Brom,12,5,13,58,69,29,
1892/1893,Blackburn,8,13,9,47,56,29,
1892/1893,Nott'ham Forest,10,8,12,48,52,28,
